Time,Column1,Column2,Column3,Label
2024-12-26 07:22:02,26.94,105.62,8.0,AsleepCore
2024-12-26 07:22:07,26.94,105.62,7.0,AsleepCore
2024-12-26 07:22:12,26.94,105.31,7.0,AsleepCore
2024-12-26 07:22:17,26.97,105.25,6.0,AsleepCore
2024-12-26 07:22:22,26.97,105.12,6.0,AsleepCore
2024-12-26 07:22:27,26.94,105.06,8.0,AsleepCore
2024-12-26 07:22:33,26.97,104.94,7.0,AsleepCore
2024-12-26 07:22:37,26.97,105.12,6.0,AsleepCore
2024-12-26 07:22:43,26.97,105.06,7.0,AsleepCore
2024-12-26 07:22:48,26.94,105.06,7.0,AsleepCore
2024-12-26 07:22:53,26.97,105.0,7.0,AsleepCore
2024-12-26 07:22:58,26.97,104.87,6.0,AsleepCore
2024-12-26 07:23:03,26.94,105.12,8.0,AsleepCore
2024-12-26 07:23:08,26.97,105.12,7.0,AsleepCore
2024-12-26 07:23:13,26.97,105.37,7.0,AsleepCore
2024-12-26 07:23:18,26.97,105.44,7.0,AsleepCore
2024-12-26 07:23:23,26.94,105.69,7.0,AsleepCore
2024-12-26 07:23:28,26.97,105.75,6.0,AsleepCore
2024-12-26 07:23:33,26.94,105.5,8.0,AsleepCore
2024-12-26 07:23:38,26.97,105.19,7.0,AsleepCore
2024-12-26 07:23:43,26.97,105.25,7.0,AsleepCore
2024-12-26 07:23:48,26.94,105.06,7.0,AsleepCore
2024-12-26 07:23:53,26.94,105.06,7.0,AsleepCore
2024-12-26 07:23:58,26.94,104.81,8.0,AsleepCore
2024-12-26 07:24:03,26.97,104.62,7.0,AsleepCore
2024-12-26 07:24:09,26.94,104.75,7.0,AsleepCore
2024-12-26 07:24:14,26.94,104.81,7.0,AsleepCore
2024-12-26 07:24:18,26.94,105.0,7.0,AsleepCore
2024-12-26 07:24:24,26.94,104.94,7.0,AsleepCore
2024-12-26 07:24:29,26.94,104.87,8.0,AsleepCore
2024-12-26 07:24:34,26.97,104.94,7.0,AsleepCore
2024-12-26 07:24:39,26.94,104.94,7.0,AsleepCore
2024-12-26 07:24:44,26.97,104.94,7.0,AsleepCore
2024-12-26 07:24:49,26.97,105.31,7.0,AsleepCore
2024-12-26 07:24:54,26.97,105.19,7.0,AsleepCore
2024-12-26 07:24:59,27.0,105.31,6.0,AsleepCore
2024-12-26 07:25:04,27.0,105.44,7.0,AsleepCore
2024-12-26 07:25:09,26.97,105.25,8.0,AsleepCore
2024-12-26 07:25:14,26.97,105.31,7.0,AsleepCore
2024-12-26 07:25:19,26.94,105.06,6.0,AsleepCore
2024-12-26 07:25:24,26.97,105.12,7.0,AsleepCore
2024-12-26 07:25:29,27.0,105.25,6.0,AsleepCore
2024-12-26 07:25:34,27.03,104.94,8.0,AsleepCore
2024-12-26 07:25:40,27.03,105.0,6.0,AsleepCore
2024-12-26 07:25:44,27.0,105.06,7.0,AsleepCore
2024-12-26 07:25:49,27.0,105.25,7.0,AsleepCore
2024-12-26 07:25:54,27.0,105.19,6.0,AsleepCore
2024-12-26 07:26:00,27.03,104.94,6.0,AsleepCore
2024-12-26 07:26:05,26.97,104.31,7.0,AsleepCore
2024-12-26 07:26:10,27.0,104.25,7.0,AsleepCore
2024-12-26 07:26:15,27.03,104.19,7.0,AsleepCore
2024-12-26 07:26:20,27.0,104.25,8.0,AsleepCore
2024-12-26 07:26:25,27.0,104.31,7.0,AsleepCore
2024-12-26 07:26:30,26.97,104.37,7.0,AsleepCore
2024-12-26 07:26:35,27.0,104.19,7.0,AsleepCore
2024-12-26 07:26:40,26.94,104.19,7.0,AsleepCore
2024-12-26 07:26:45,27.0,104.19,6.0,AsleepCore
2024-12-26 07:26:50,27.0,104.19,6.0,AsleepCore
